"","ano","titulo","cantantes","genero_del_cantante","genero_de_la_cancion","i_b1","i_b2","i_c4","i_c1","i_c2","i_c3","i_a2","i_a5","i_a6","i_a1","i_a4","i_a3","sin_indicadores","i_a7","dudas","dudas_consultar","genero_agrupado","suma_ic","suma_ia","indicadores_totales","indicadores_feminista"
"1",2010,"ALEJANDRO","LADY GAGA",0,"pop",3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pop",0,0,0,4
"2",2010,"BAD ROMANCE","LADY GAGA",0,"pop",1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pop",3,0,3,1
"3",2010,"GYPSY","SHAKIRA",0,"pop",3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"Pop",0,0,0,5
"4",2010,"LOCA","SHAKIRA / EL CATA",2,"pop",0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,"Pop",8,0,8,0
"5",2010,"LOVE THE WAY YOU LIE","EMINEM / RIHANNA",2,"rap",0,0,0,1,0,3,2,2,2,0,0,0,0,0,0,0,"Hiphop",4,6,10,0
"6",2010,"MI PRINCESA","DAVID BISBAL",1,"pop",0,0,0,0,0,0,2,3,0,1,1,0,0,0,0,0,"Pop",0,7,7,0
"7",2010,"RUN RUN","ESTOPA",1,"pop",0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,"Pop",0,3,3,0
"8",2010,"STEREO LOVE","EDWARD MAYA",1,"pop",0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,"Pop",0,4,4,0
"9",2010,"WAKA WAKA","SHAKIRA",0,"pop",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,"Pop",0,0,0,0
"10",2011,"AI SE EU TE PEGO","MICHEL TELÓ",1,"pop",0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,"Pop",0,3,3,0
"11",2011,"BAILANDO POR AHÍ","JUAN MAGAN",1,"regueton",0,0,0,0,0,0,2,1,0,1,0,1,0,1,0,0,"regueton",0,6,6,0
"12",2011,"BLANCO Y NEGRO","MALÚ",0,"pop",0,0,0,1,0,5,0,0,0,0,0,0,0,0,0,0,"Pop",6,0,6,0
"13",2011,"DANZA KUDURO","DON OMAR / LUCENZO",1,"regueton",0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,"regueton",0,2,2,0
"14",2011,"GIVE ME EVERYTHING","PITBULL",1,"Pop",0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,0,"Pop",0,4,4,0
"15",2011,"LOCA","SHAKIRA / EL CATA",2,"pop",0,0,0,2,5,1,0,0,0,0,0,0,0,0,0,0,"Pop",8,0,8,0
"16",2011,"ON THE FLOOR","JENNIFER LOPEZ / PITBULL",2,"pop",0,0,0,0,0,0,0,0,1,2,1,0,0,0,0,0,"Pop",0,4,4,0
"17",2011,"RABIOSA","SHAKIRA",2,"pop",0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,"Pop",1,2,3,1
