"","cantantes","titulo","letra","genero","idioma","ano","posicion","semanas"
"1","SHAKIRA","WAKA WAKA","[Letra de ""Waka Waka (Esto es África)""]

[Intro]
Oooeeeeeeeeeeeeeeeehh!
Viva Africa (Otra, otra)
Viva Africa (Otra, otra)
Viva Africa (Otra, otra)
Viva Africa (Otra, otra)

[Verso 1: Shakira]
Llegó el momento, caen las murallas
Va a comenzar la única justa de las batallas
No duele el golpe, no existe el miedo
Quítate el polvo, ponte de pie, y vuelves al ruedo

[Pre-Coro: Shakira]
Y la presión se siente
Espera en ti tu gente
Ahora vamos por todo
Y te acompaña la suerte
Tsamina mina zangalewa
Porque esto es África
[Coro: Shakira]
Tsamina mina, eh, eh
Waka waka, eh, eh
Tsamina mina zangalewa
Porque esto es África

[Verso 2: Shakira]
Oye a tu Dios y no estarás solo
Llegaste aquí para brillar, lo tienes todo
La hora se acerca, es el momento
Vas a ganar cada batalla, ya lo presiento

[Pre-Coro: Shakira]
Hay que empezar de cero, para tocar el cielo
Ahora vamos por todo
Y todos vamos por ellos
Tsamina mina zangalewa
Porque esto es África

[Coro: Shakira]
Tsamina mina, eh, eh
Waka waka, eh, eh
Tsamina mina zangalewa
Anawa-a-a
Tsamina mina, eh, eh
Waka waka, eh, eh
Tsamina mina zangalewa
Porque esto es África
[Verso 3: Zolani]
Awabuye lamajoni, ipikipiki mama wa A to Z
Bathi susa lamajoni, ipikipiki mama from East to West
Bathi waka waka ma, eh, eh
Waka waka ma, eh, eh
Zonk' izizwe mazibuye 'cause this is Africa

[Puente]
Tsamina mina, Anawa-a-a
Tsamina mina
Tsamina mina, Anawa-a-a

[Coro: Shakira]
Tsamina mina, eh, eh
Waka waka, eh, eh
Tsamina mina zangalewa
Anawa-a-a
Tsamina mina, eh, eh
Waka waka, eh, eh
Tsamina mina zangalewa
Porque esto es África

[Outro: Shakira]
Django, eh, eh
Django, eh, eh
Tsamina mina zangalewa
Anawa-a-a
Django, eh, eh
Django, eh, eh
Tsamina mina zangalewa
Anawa-a-a
Porque esto es África
Porque esto es África
We're all Africa ([?])
We're all Africa ([?])
([?])
([?])","rock","es",2010,1,34
"2","ESTOPA","RUN RUN","[Letra de ""El Run Run""]

[Verso 1]
Suena el run run de mi mundo marrón
Doble ración de realidad común
Desde un rincón de mi habitación
Primera fila solo para mi

A mi me suena el run run de mi corazón
No se me quita el gusanillo de ti
Me suena el run run dentro de una estación
Mi ultimo tren ya no quiere salir

[Coro]
Si es que algo me quema
Por dentro tengo un hoguera
Aunque mi sangre se envenena
Con el tiempo que me queda
Que me lleve un diablo viejo
Que esta dentro de mi espejo gris
Saco mi bandera negra con la calavera
Que quiero llegar al cielo
Trepando por tus caderas
Me paro a medio camino
Para descansar contigo aquí

[Post-Coro]
Mi corazón sin ti
Mi corazón sin ti

[Verso 2]
Suena el Big Bang dentro de una canción
Un universo que quiere nacer
A mi me suena sourrund de mi mundo interior
Que a mi me gusta que se escuche bien

A mi me suena el run run de mi corazón
No se me quita el gusanillo de ti
Me suena el run run dentro de una estación
Mi ultimo tren ya no quiere salir

[Coro]
Si es que algo me quema
Por dentro tengo un hoguera
Aunque mi sangre se envenena
Con el tiempo que me queda
Que me lleve un diablo viejo
Que esta dentro de mi espejo gris
Saco mi bandera negra con la calavera
Que quiero llegar al cielo
Trepando por tus caderas
Me paro a medio camino
Para descansar contigo aquí

[Post-Coro]
Mi corazón sin ti
Mi corazón sin ti

[Verso 3]
Y yo no sé qué tengo que hacer
Para poder ver - me el cuerpo por dentro
Adivinar mi forma de ser
La fuente que da los remordimientos

Y yo no sé qué tengo que hacer
Para poder ver-me el cuerpo por dentro
Adivinar mi forma de ser
La fuente que da

[Outro]
Mi corazon sin ti","pop","es",2010,2,49
"3","YOLANDA BE COOL / DCUP","WE NO SPEAK AMERICANO","[Verse 1: Renato Carosone]
Comme te po' capi' chi te vo' bene
Si tu le parle miezzo americano?
Quanno se fa l'ammore sotto 'a luna
Comme te vene 'ncapa 'e di': ""I love you""?

[Chorus: Renato Carosone]
Pa pa l'americano
Pa pa l'americano

[Bridge: Renato Carosone]
—pa l'americano!

[Verse 2: Renato Carosone]
Comme te po' capi' chi te vo' bene
Si tu le parle miezzo americano?
Quanno se fa l'ammore sotto 'a luna
Comme te vene 'ncapa 'e di': ""I love you""?

[Chorus: Renato Carosone]
Pa pa l'americano
Pa pa l'americano
[Outro: Renato Carosone]
Whisky e soda e rocchenroll
Whisky e soda e rocchenroll
Whisky e soda e rocchenroll","pop","it",2010,3,35
"4","EDWARD MAYA","STEREO LOVE","[Bridge: Vika Jigulina]
When you gonna stop breaking my heart?
I don't wanna be another one
Praying for the things I never done
Don't let go, don't let go to my love

[Verse: Vika Jigulina]
Can I get to your soul? Can you get to my flow?
Can we promise we won't let go?
All the things that I need, all the things that you need
You can make it feel so real

[Pre-Chorus: Vika Jigulina & Edward Maya]
'Cause you can't deny, you've blown my mind
When I touch your body, I feel I'm losing control
'Cause you can't deny, you've blown my mind
When I see you, baby, I just don't wanna let go

[Hook 1: Edward Maya]
I hate to see you cry, your smile is a beautiful lie
I hate to see you cry, my love is dying inside
[Chorus 1: Edward Maya]
I can fix all those lies
Oh baby, baby, I run, but I'm running to you
You won't see me cry, I'm hiding inside
My heart is in pain, but I'm smiling for you

[Verse: Vika Jigulina]
Can I get to your soul? Can you get to my flow?
Can we promise we won't let go?
All the things that I need, all the things that you need
You can make it feel so real

[Pre-Chorus: Vika Jigulina & Edward Maya]
'Cause you can't deny, you've blown my mind
When I touch your body, I feel I'm losing control
'Cause you can't deny, you've blown my mind
When I see you, baby, I just don't wanna let go

[Bridge: Vika Jigulina]
When you gonna stop breaking my heart?
Don't let go, don't let go to my love

[Hook 2: Edward Maya]
I hate to see you cry, your smile is a beautiful lie
I hate to see you cry, my love is dying inside
I hate to see you cry, my love is dying inside
I haven't seen you smilin' but I'm dying tonight
[Chorus 2: Edward Maya]
I can fix all those lies
Oh baby, baby, I run, but I'm running to you
You won't see me cry, I'm hiding inside
My heart is in pain, but I'm smiling for you
Oh baby I'll try to make the things right
I need you more than air when I'm not with you
Please don't ask me why, just kiss me this time
My only dream is about you and I","pop","en",2010,5,44
"5","LADY GAGA","BAD ROMANCE","[Intro]
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance
Ra-ra-ah-ah-ah
Roma Roma-ma
Gaga, ""Ooh la-la""
Want your bad romance
Ra-ra-ah-ah-ah
Roma, Roma-ma
Gaga, ""Ooh la-la""
Want your bad romance

[Verse 1]
I want your ugly, I want your disease
I want your everything as long as it’s free
I want your love
Love, love, love, I want your love, oh, ey
I want your drama, the touch of your hand (Hey!)
I want your leather-studded kiss in the sand
I want your love
Love, love, love, I want your love
(Love, love, love, I want your love)
[Pre-Chorus]
You know that I want you
And you know that I need you
I want it bad
Your bad romance

[Chorus]
I want your love, and I want your revenge
You and me could write a bad romance (Oh-oh-oh-oh-oh)
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance

[Post-Chorus]
Ra-ra-ah-ah-ah
Roma-roma-ma
Gaga, ""Ooh la-la""
Want your bad romance

[Verse 2]
I want your horror, I want your design
‘Cause you’re a criminal as long as you’re mine
I want your love
Love, love, love, I want your love, uh
I want your psycho, your vertigo schtick (Hey!)
Want you in my rear window, baby, you're sick
I want your love
Love, love, love, I want your love
(Love, love, love, I want your love)
[Pre-Chorus]
You know that I want you
And you know that I need you ('Cause I'm a free bitch, baby)
I want it bad
Your bad romance

[Chorus]
I want your love, and I want your revenge
You and me could write a bad romance (Oh-oh-oh-oh-oh)
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
Caught in a bad romance

[Post-Chorus]
Ra-ra-ah-ah-ah
Roma-roma-ma
Gaga, ""Ooh la-la""
Want your bad romance
Ra-ra-ah-ah-ah
Roma-roma-ma
Gaga, ""Ooh la-la""
Want your bad romance
[Bridge 1]
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, fashion, baby
Work it, move that bitch crazy
Walk, walk, passion, baby
Work it, I'm a free bitch, baby

[Bridge 2]
I want your love, and I want your revenge
I want your love, I don't wanna be friends
Je veux ton amour et je veux ta revanche
Je veux ton amour, I don't wanna be friends
(Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh)
(I want you back) No, I don't wanna be friends
(Caught in a bad romance) I don't wanna be friends
Want your bad romance
(Caught in a bad romance) Want your bad romance

[Chorus]
I want your love, and I want your revenge
You and me could write a bad romance (Oh-oh-oh-oh-oh)
I want your love, and all your lover's revenge
You and me could write a bad romance
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
(Want your bad romance)
Caught in a bad romance (Want your bad romance)
Oh-oh-oh-oh-oh, oh-oh-oh-oh, oh-oh-oh
(Want your bad romance)
Caught in a bad romance

[Post-Chorus]
Ra-ra-ah-ah-ah
Roma, Roma-ma
Gaga, ""Ooh la-la""
Want your bad romance","pop","en",2010,6,54
"6","SHAKIRA / EL CATA","LOCA","[Letra de ""Loca"" ft. El Cata]

[Intro: Shakira, El Cata]
Loca (Loca)
No te pongas bruto
Loca
Que te la bebe
Dance or die
Loca (Loca)
(Ra-ta-ta)

[Refrán: Shakira]
Él está por mí y por ti borró
Y eso que tú tienes to', y yo ni un kikí
Él está por mi, y por ti borró (Borró)
Y eso que tú tienes to', y yo ni un kikí

[Verso 1: Shakira]
Ella se hace la bruta pa' cotizarse
Conmigo en frente, ella se hace la gata en celo contigo
Te cotorrea el oído pa' tenerte en alta
Ella muere por ti, tú por mí es que matas
Sigo tranquila como una paloma de e'quina
Mientras ella se pasa en su BM al lado mío
Yo de aquí no me voy, lo que está pa' mi
Ninguna va poder quitármelo de un tirón
[Coro: Shakira, El Cata]
Yo soy loca con mi tigre, loca, loca, loca
Soy loca con mi tigre, loca, loca, loca
Soy loca con mi tigre (Loca, loca, loca)
Soy loca con mi tigre (Loca, loca, loca)

[Refrán: Shakira]
Él está por mi, y por ti borró (Borró)
Y eso que tú tienes to', y yo ni un kikí
Él está por mi, y por ti borró (Borró)
Y eso que tú tienes to', y yo ni un kikí

[Verso 2: Shakira, El Cata]
Mientras ella te complace con todos tus caprichos
Yo te llevo al malecón por un caminito
Me dicen que tu novia anda con un rifle
Porque me vio bailando mambo pa' ti, ¿qué no lo permite?
Yo no tengo la culpa de que tú te enamore'
Mientras él te compra flores yo compro cond— ooh!
Yo soy loca con mi tigre
Cuantas más rayas mejor y mira eso es lo que dicen (Shhh)

[Coro: Shakira, El Cata]
Yo soy loca con mi tigre, loca, loca, loca
Soy loca con mi tigre, loca, loca, loca
Soy loca con mi tigre (Loca, loca, loca)
Soy loca con mi tigre
[Puente: Shakira, El Cata]
¡Dios mío! (Ahh! Ahh!)
Se colán lo' ra-ta-ta
No te pongas bruto
Que te la bebe
Loca (Loca)
Loca

[Refrán: Shakira]
Él está por mi, y por ti borró (Borró)
Y eso que tú tienes to', y yo ni un kikí

[Coro / Outro: Shakira, El Cata]
Yo soy loca con mi tigre, loca, loca, loca
Soy loca con mi tigre, loca, loca, loca
(Ca, loca-ca, loca-ca, loca)
(Loca, loca, loca)","pop","es",2010,7,15
"7","LADY GAGA","ALEJANDRO","[Intro]
I know that we are young, and I know that you may love me
But I just can't be with you like this anymore
Alejandro...

[Verse 1]
She's got both hands in her pocket
And she won't look at you, won't look at you
She hides true love, en su bolsillo
She's got a halo around her finger, around you

[Pre-Chorus]
You know that I love you, boy
Hot, like Mexico, rejoice
At this point, I've gotta choose
Nothing to lose

[Chorus]
Don't call my name, don't call my name, Alejandro
I'm not your babe, I'm not your babe, Fernando
Don't wanna kiss, don't wanna touch
Just smoke my cigarette and hush
Don't call my name, don't call my name, Roberto
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro
[Interlude]
Stop, please, just let me go
Alejandro, just let me go

[Verse 2]
She's not broken, she's just a baby
But her boyfriend's like her dad, just like her dad
And all those flames that burned before him
Now he's gotta firefight, gotta cool the bad

[Pre-Chorus]
You know that I love you, boy
Hot, like Mexico, rejoice
At this point, I've gotta choose
Nothing to lose

[Chorus]
Don't call my name, don't call my name, Alejandro
I'm not your babe, I'm not your babe, Fernando
Don't wanna kiss, don't wanna touch
Just smoke my cigarette and hush
Don't call my name, don't call my name, Roberto
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro
[Bridge]
Don't bother me, don't bother me
Alejandro
Don't call my name, don't call my name
Bye, Fernando
I'm not your babe, I'm not your babe
Alejandro
Don't wanna kiss
Don't wanna touch
Fernando
Don't call my name, don't call my name
Alejandro
I'm not your babe, I'm not your babe
Fernando
Don't wanna kiss, don't wanna touch
Just smoke my cigarette and hush
Don't call my name, don't call my name
Roberto

[Outro]
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro
Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro
(Don't call my name, don't call my name) Alejandro, Alejandro
(I'm not your babe, I'm not your babe) Ale-Alejandro, Ale-Alejandro (Fernando)
(Don't wanna kiss, don't wanna touch) Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro (Just smoke my cigarette and hush)
(Don't call my name, don't call my name) Alejandro, Alejandro
Ale-Alejandro, Ale-Alejandro (Roberto)
Alejandro","pop","en",2010,8,30
"8","SHAKIRA","GYPSY","[Verse 1]
Broke my heart on the road
Spent the weekends sewing the pieces back on
Friends and thoughts pass me by
Walking gets too boring when you learn how to fly
Not the homecoming kind
Take the top off, and who knows what you might find
Won't confess all my sins
You can bet all trying, but you can't always win

[Chorus]
‘Cause I'm a gypsy, are you coming with me?
I might steal your clothes and wear them if they fit me
Never made agreements just like a gypsy
And I won't back down ‘cause life's already bit me
And I won't cry, I'm too young to die if you're gonna quit me
‘Cause I'm a gypsy

[Refrain]
‘Cause I'm a gypsy
[Verse 2]
I can't hide what I've done
Scars remind me of just how far that I've come
To whom it may concern
Only run with scissors when you want to get hurt

[Chorus]
‘Cause I'm a gypsy, are you coming with me?
I might steal your clothes and wear them if they fit me
I don't make agreements, just like a gypsy
And I won't back down ‘cause life's already bit me
And I won't cry, I'm too young to die if you're gonna quit me
‘Cause I'm a gypsy

[Bridge]
And I say, hey you, you're no fool if you say ""no""
Ain't it just the way life goes?
People fear what they don't know
And I say, hey you, you're no fool if you say ""no""
Ain't it just the way life goes?
People fear what they don't know
Come along for the ride, oh yeah
Come along for the ride, ooo

[Chorus]
‘Cause I'm a gypsy, are you coming with me?
I might steal your clothes and wear them if they fit me
Never made agreements just like a gypsy
And I won't back down ‘cause life's already bit me
And I won't cry, I'm too young to die if you're gonna quit me
‘Cause I'm a gypsy","pop","en",2010,9,38
"9","DAVID BISBAL","MI PRINCESA","Que milagro tiene que pasar para que me ames
Que estrella del cielo a de caer para poderte convencer
Que no sienta mi alma sola
Quiero escarparme de este eterno anochecer

Dice mucha gente que los hombres nunca lloran
Pero yo he tenido que volver a mi niñez una vez mas
Me sigo preguntando
Porque te sigo amando y dejaste sangrando mis heridas
No puedo colmarte ni de joyas ni dinero
Pero puedo darte un corazon que es verdadero
Mis alas en el viento necesitan de tus besos
Acompañame en el viaje que volar solo no puedo...

Y sabes que eres la princesa de mis sueños encantados
Cuantas guerras he librado por tenerte aqui a mi lado
No me canso de buscarte, no me importara arriesgarte
Si al final de esta aventura yo lograra conquistarte
Y he pintado a mi princesa en un cuadro imaginario
Le cantaba en el oido susurrando muy despacio
Tanto tiempo he naufragado y yo se que no fue en vano
No he dejado de intentarlo, porque creo en los milagros
Sigo caminando en el desierto del deseo
Tantas madrugadas me he perdido en el recuerdo
Viviendo el desespero
Muriendo en la tristeza por no haber cambiar ese destino
No puedo colmarte ni de joyas ni dinero
Pero puedo darte un corazón que es verdadero
Mis alas en el viento necesitan de tus besos
Acompañame en el viaje que volar solo no puedo

Y sabes que eres la princesa de mis sueños encantados
Cuantas guerras he librado por tenerte aqui a mi lado
No me canso de buscarte, no me importara arriesgarte
Si al final de esta aventura yo lograra conquistarte
Y he pintado a mi princesa en un cuadro imaginario
Le cantaba en el oido susurrando muy despacio
Tanto tiempo he naufragado y yo se que no fue en vano
No he dejado de intentarlo, porque creo en los milagros","pop","es",2010,10,39
"10","EMINEM / RIHANNA","LOVE THE WAY YOU LIE","[Chorus: Rihanna]
Just gonna stand there and watch me burn?
Well, that's all right because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's all right because I love the way you lie
I love the way you lie

[Verse 1: Eminem]
I can't tell you what it really is, I can only tell you what it feels like
And right now, there's a steel knife in my windpipe
I can't breathe, but I still fight while I can fight
As long as the wrong feels right, it's like I'm in flight
High off her love, drunk from her hate
It's like I'm huffin' paint and I love her, the more I suffer, I suffocate
And right before I'm about to drown, she resuscitates me
She fuckin' hates me, and I love it — ""Wait!
Where you going?"" — ""I'm leaving you!"" — ""No, you ain't!
Come back!"" — We're runnin' right back, here we go again
It's so insane, 'cause when it's goin' good, it's goin' great
I'm Superman with the wind at his back, she's Lois Lane
But when it's bad, it's awful, I feel so ashamed
I snapped, ""Who's that dude?"", I don't even know his name
I laid hands on her, I'll never stoop so low again
I guess I don't know my own strength
[Chorus: Rihanna]
Just gonna stand there and watch me burn?
Well, that's all right because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's all right because I love the way you lie
I love the way you lie
I love the way you lie

[Verse 2: Eminem]
You ever love somebody so much you can barely breathe when you're with 'em?
You meet, and neither one of you even know what hit 'em
Got that warm fuzzy feelin', yeah, them chills, used to get 'em
Now you're gettin' fuckin' sick of lookin' at 'em?
You swore you'd never hit 'em, never do nothin' to hurt 'em
Now you're in each other's face
Spewin' venom in your words when you spit 'em
You push, pull each other's hair, scratch, claw, bit 'em
Throw 'em down, pin 'em
So lost in the moments when you're in 'em
It's the rage that took over, it controls you both
So they say you're best to go your separate ways
Guess that they don't know ya
'Cause today, that was yesterday, yesterday is over
It's a different day, sound like broken records playin' over
But you promised her, next time you'll show restraint
You don't get another chance, life is no Nintendo game
But you lied again
Now you get to watch her leave out the window
Guess that's why they call it window pane
[Chorus: Rihanna]
Just gonna stand there and watch me burn?
Well, that's all right because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's all right because I love the way you lie
I love the way you lie
I love the way you lie

[Verse 3: Eminem]
Now, I know we said things, did things that we didn't mean
Then we fall back into the same patterns, same routine
But your temper's just as bad as mine is, you're the same as me
When it comes to love you're just as blinded, baby, please
Come back, it wasn't you, baby, it was me
Maybe our relationship isn't as crazy as it seems
Maybe that's what happens when a tornado meets a volcano
All I know is I love you too much to walk away though
Come inside, pick up your bags off the sidewalk
Don't you hear sincerity in my voice when I talk?
Told you this is my fault, look me in the eyeball
Next time I'm pissed, I'll aim my fist at the drywall
Next time? There won't be no next time!
I apologize, even though I know it's lies
I'm tired of the games, I just want her back, I know I'm a liar
If she ever tries to fuckin' leave again, I'ma tie her
To the bed and set this house on fire, just gonna—
[Chorus: Rihanna & Eminem]
Just gonna stand there and watch me burn?
Well, that's all right because I like the way it hurts
Just gonna stand there and hear me cry?
Well, that's all right because I love the way you lie
I love the way you lie
I love the way you lie","rap","en",2010,11,21
